NICHE_ID,DISPLAY_NAME,LANGUAGE,TONE,AUDIENCE,MIN_WORDS,MAX_WORDS,PROMPT_EXTRA,AFFILIATE_CATEGORY,RPM_ESTIMATE,ACTIVE,BLOG_NAME,TIER
veterinary,Medicina Veterinaria — Blog Principal,es,"experto, educativo, cercano — voz de médico veterinario real",dueños de mascotas preocupados y profesionales veterinarios,1500,2200,"BLOG AUTORIDAD: eres el Dr. Luis García, médico veterinario. Incluye SIEMPRE: semiología clínica específica, diagnósticos diferenciales con criterios, protocolos de tratamiento actualizados, cuándo es urgencia vs consulta normal, prevención basada en evidencia. Usa terminología médica con explicación accesible. Cita técnicas de auscultación, palpación, exploración física.",pet-supplies,4.50,TRUE,Veterinario Luis Garcia,2
hurones,Cuidado de Hurones,es,"amigable, especializado — referente en hurones hispano",dueños de hurones principiantes y avanzados,1000,1600,"NICHO ESPECIALIZADO: cubre comportamiento natural del hurón mustelidae, alimentación carnívora estricta, enfermedades propias (insulinoma, adrenal, linfoma), ciclos de sueño, castración preventiva. Recomienda productos específicos con links Amazon. Menciona expectativa de vida, vacunas obligatorias.",small-animal-supplies,4.00,TRUE,EL BLOG DEL HURÓN,2
bulldogs,Cría y Cuidado de Bulldogs,es,"experto en razas, práctico",criadores y dueños de bulldogs,1200,1600,"Incluye tips de grooming, problemas respiratorios del síndrome braquicéfalo, paladar blando, alimentación para razas con pliegues, articulaciones de cadera. Recomienda accesorios específicos.",dog-supplies,3.80,TRUE,Bulldogs Vet,2
pez-betta,Peces Betta y Acuarios,es,"apasionado, didáctico",acuaristas principiantes y entusiastas de peces betta,800,1400,"Cubre parámetros de agua (pH, temperatura, dureza), enfermedades del betta (ich, fin rot, dropsy), machos vs hembras, sorority tanks, alimentación, reproducción. Recomienda productos de acuariofilia Amazon.",aquarium-supplies,3.20,TRUE,PEZ BETTA,2
pez-guppy,Peces Guppy y Acuarios,es,"didáctico, práctico",acuaristas con guppies y livebearers,800,1400,"Cubre genética del color, cría y reproducción (livebearers), enfermedades comunes, parámetros agua, compatibilidad con otras especies. Recomienda alimentos y accesorios acuario.",aquarium-supplies,3.00,TRUE,PEZ GUPPY,2
pez-platy,Peces Platy y Comunidad,es,"amigable, práctico",acuaristas de agua tropical,700,1200,"Variantes de platy, parámetros de agua, reproducción, compatibilidad comunitaria, enfermedades, alimentación variada. Productos de acuariofilia.",aquarium-supplies,3.00,TRUE,Pez Platy,3
camarones-acuario,Camarones de Acuario,es,"técnico, apasionado",acuaristas especializados en camarones de agua dulce,800,1400,"Neocaridina vs Caridina, parámetros de agua críticos (GH, KH, TDS), enfermedades de camarones, plantas acuáticas, predadores, breeding. Productos especializados Amazon.",aquarium-supplies,3.50,TRUE,CAMARONES DE ACUARIO,2
acuarios-nano,Acuarios Nano y Planted Tanks,es,"estético, técnico",entusiastas de aquascaping y nano acuarios,900,1500,"Aquascaping, planted tank, fertilización CO2, iluminación LED, filtración mini, species apropiadas para nanos. Productos de aquascaping Amazon.",aquarium-supplies,3.80,TRUE,Acuarios Nano,2
reptiles,Reptiles como Mascotas,es,"experto, descriptivo",dueños de reptiles y entusiastas herpetología,1000,1600,"Cubre cuidados generales de reptiles: terrariums, UVB, temperatura, alimentación (insectos/roedores/plantas según especie), enfermedades comunes (MBD, parasitosis, infecciones respiratorias), normativa de tenencia. Productos de terrariofilia.",reptile-supplies,4.20,TRUE,Reptiles,2
geckos-leopardo,Geckos Leopardo y Crested Geckos,es,"especializado, práctico",dueños de geckos y reptiles pequeños,900,1500,"Morfologías, setups de terrarium, iluminación sin UVB vs con UVB, alimentación (insectos, Repashy), enfermedades del gecko (criptosporidiosis, retención de muda), reproducción, temperatura. Productos Amazon especializados.",reptile-supplies,4.00,TRUE,GECKOS LEOPARDO,2
chinchillas,Chinchillas y Roedores Exóticos,es,"cariñoso, especializado",dueños de chinchillas y roedores exóticos,900,1500,"Termorregulación crítica de la chinchilla, polvo de baño, maloclusión dental, GI stasis, alimentación a base de heno, socialización. Productos Amazon para pequeños mamíferos.",small-animal-supplies,4.00,TRUE,Chinchillas,2
aves-loros,Loros Psitácidas y Aves Exóticas,es,"apasionado, experto",dueños de loros y aves exóticas,1000,1600,"Cubre guacamayos, loros africanos, cacatúas, periquitos, cotorras. Nutrición basada en pellets vs semillas, enriquecimiento ambiental, enfermedades aviares (psitacosis, enfermedad de plumas), clipping. Productos Amazon para aves.",bird-supplies,4.00,TRUE,Loros,2
guacamayos,Guacamayos y Psitácidas Grandes,es,"experto, apasionado",dueños de guacamayos y aves grandes,900,1500,"Guacamayos verde, azul, hibridos. Necesidades espaciales enormes, dieta frutas-verduras-pellets, socialización compleja, pubertad y agresividad, enfermedades psitácidas. Productos especializados grandes aves.",bird-supplies,4.20,TRUE,guacamayos,2
periquitos,Periquitos y Aves Pequeñas,es,"amigable, accesible",dueños de periquitos y cotorras pequeñas,700,1200,"Periquitos australianos, ninfas/cacatúas pequeñas. Sexado, muda, enfermedades (ácaros, Psittacosis), socialización, jaulas mínimas, reproducción. Productos económicos Amazon.",bird-supplies,3.20,TRUE,Periquitos,3
patos,Patos y Aves de Corral,es,"rural, práctico",criadores de aves de traspatio y patos domésticos,700,1200,"Razas de patos domésticos, instalaciones, alimentación, enfermedades aviares, huevos, cría de patitos, manejo en traspatio. Productos de aves de corral.",poultry-supplies,2.80,TRUE,Patos,3
razas-perros,Razas de Perros: Guía Completa,es,"descriptivo, informativo",personas buscando información sobre razas para adoptar,1200,1800,"Características físicas, temperamento, energía, necesidades de ejercicio, salud específica de raza, esperanza de vida, problemas genéticos. Recomienda productos específicos para la raza.",dog-supplies,4.00,TRUE,Razas de Perros,2
pastor-aleman,Pastor Alemán y Perros de Trabajo,es,"experto en razas de trabajo, entrenamiento",dueños y entrenadores de pastores alemanes,1000,1600,"Líneas de trabajo vs show, displasia de cadera (puntuación OFA/FCI), DM degenerativa, entrenamiento IPO/Schutzhund, alimentación para razas grandes activas, bloat/vólvulo gástrico. Productos Amazon para grandes razas.",dog-supplies,4.00,TRUE,Pastor Alemán,2
mastin-tibetano,Mastín Tibetano y Razas Gigantes,es,"especializado, raro",propietarios y fans de razas gigantes,900,1500,"Raza protectora de rebaños, temperamento independiente, crecimiento lento, displasia, alimentación para gigantes, grooming del pelaje doble, legado cultural tibetano. Alta monetización por rareza.",dog-supplies,4.50,TRUE,Mastín Tibetano,2
alimentacion-perros,Nutrición Canina y Alimentación,es,"científico, accesible","dueños de perros preocupados por la nutrición, BARF",1200,1800,"BARF vs pienso vs cocinado en casa, ingredientes a evitar (uvas, xilitol, cebolla), requerimientos nutricionales por etapa, razas pequeñas vs grandes, etiquetado de piensos. Alto potencial afiliados comida premium.",dog-food-supplies,4.50,TRUE,Alimentación para Perros,2
alimentacion-gatos,Nutrición Felina y Alimentación,es,"científico, práctico","dueños de gatos preocupados por nutrición, raw feeding",1000,1600,"Obligados carnívoros, taurina, alimentación húmeda vs seca, FLUTD y dieta, diabetes felina y dieta low-carb, obesidad. Recomienda marcas premium Amazon.",cat-food-supplies,4.50,TRUE,Alimentación para Gatos,2
bovinos-vet,Veterinaria Bovina y Ganadería,es,"técnico veterinario, productivo",ganaderos y médicos veterinarios rurales,1400,2000,"Patologías bovinas (clostridiosis, aftosa, brucelosis, tuberculosis), protocolos vacunación, IATF (inseminación artificial), nutrición bovina, producción lechera, parasitología de campo. Contenido técnico profesional.",livestock-supplies,3.50,TRUE,VETERINARIO DE BOVINOS,2
seguros-mascotas,Seguros para Mascotas,es,"experto, confiable — comparativa",dueños de mascotas preocupados por salud animal y gastos vet,1000,1500,"Compara seguros de mascotas disponibles en Latinoamérica y España, coberturas, exclusiones, costos, ROI vs no tener seguro. Incluye simulaciones de costos veterinarios. Alto RPM.",insurance,12.00,TRUE,Seguros de Mascotas,1
impuestos-usa,Impuestos y Taxes en USA,en,"professional, authoritative",US residents and immigrants with tax questions,1400,2000,"Tax filing, IRS deadlines, deductions for self-employed, immigrant tax obligations, ITIN, W-2 vs 1099, business taxes, estimated quarterly payments. Disclaimer: not tax advice. Extremely high RPM niche.",financial-services,55.00,TRUE,IMPUESTOS EN USA,1
abogados-familia-usa,Family Law and Divorce Attorneys,en,"empathetic, professional",US adults facing family legal issues,1400,2000,"Divorce process, custody arrangements, child support calculation, alimony, domestic violence legal options, prenuptials. When to hire an attorney vs self-represent. Disclaimer: not legal advice.",legal-services,65.00,TRUE,Abogados de Familia En USA,1
abogados-accidentes,Accident Attorneys and Personal Injury,en,"professional, accessible",US accident victims seeking legal help,1400,2000,"Car accident claims, insurance negotiations, personal injury settlements, medical bills coverage, statute of limitations, finding an attorney on contingency. Extremely high RPM.",legal-services,75.00,TRUE,Abogados de Accidentes Orlando,1
bienes-raices-usa,Real Estate Law and Property,en,"professional, informative",US homebuyers and investors,1400,2000,"Real estate transactions, title insurance, property disputes, landlord-tenant law, zoning, investment property legal issues, closing costs. High RPM.",legal-services,50.00,TRUE,abogado de bienes raíces en usa,1
multas-laborales,Employment Law and Labor Rights,en,"professional, empowering",US workers facing workplace issues,1400,2000,"Wrongful termination, wage theft, FLSA violations, workplace harassment, OSHA violations, filing complaints with DOL/EEOC. Disclaimer: not legal advice.",legal-services,55.00,TRUE,multas permisos laboral,1
hipertension,Hipertensión Arterial y Salud,es,"médico, accesible","adultos con hipertensión o riesgo cardiovascular, cuidadores",1200,1800,"Fisiopatología explicada, medición correcta en casa, medicamentos (IECAs, ARAs, betabloqueantes), dieta DASH, sal y sodio, hipertensión resistente, crisis hipertensiva. Disclaimer médico obligatorio. Alto RPM salud.",health-devices,18.00,TRUE,Hipertensión Arterial,1
tensiometro,Tensiómetros y Dispositivos de Salud,es,"comparativa, técnico",adultos comprando tensiómetros o monitores de salud,900,1400,"Comparativa tensiómetros de brazo vs muñeca, precisión clínica vs doméstico, validación ESH, funciones smart, marcas (Omron, Beurer, Withings). Altísimo potencial afiliados Amazon dispositivos médicos.",health-devices,15.00,TRUE,Tensiometro,1
anti-estres,Técnicas Anti Estrés y Bienestar Mental,es,"cálido, científico","adultos con estrés crónico, burnout, ansiedad",1000,1600,"Técnicas basadas en evidencia: mindfulness MBSR, respiración diafragmática, coherencia cardiaca, yoga, ejercicio, higiene del sueño, terapia cognitiva. Menciona apps y productos de bienestar Amazon.",wellness-products,12.00,TRUE,Tecnicas Anti Estrés,1
esclerosis-multiple,Esclerosis Múltiple y Enfermedades Neurológicas,es,"médico, empático","pacientes con EM, cuidadores, familias",1200,1800,"Síntomas, tipos (RR, SP, PP), diagnóstico (RM, bandas oligoclonales), tratamientos DMT modernos, fisioterapia, fatiga, rehabilitación. Disclaimer médico obligatorio. RPM premium salud.",health-premium,25.00,TRUE,Tratamiento Esclerosis Multiple,1
finanzas,Finanzas Personales,es,"profesional, accesible",adultos de clase media buscando mejorar finanzas,1200,1800,"Incluye ejemplos numéricos concretos, comparativas, y pasos accionables. Ahorro, inversión, deudas, presupuesto familiar.",financial-products,8.00,TRUE,Emprendimientos desde casa facilitos,2
saas,SaaS y Herramientas Digitales,es,"técnico, práctico",profesionales y emprendedores digitales,1000,1500,"Incluye pricing, pros/cons, comparativas directas. Menciona alternativas gratuitas y de pago. Casos de uso reales.",software-services,9.00,TRUE,NA,2
ia,Inteligencia Artificial y Automatización,es,"visionario, accesible","emprendedores, profesionales curiosos sobre IA",1000,1500,"Incluye casos de uso reales, herramientas específicas, y cómo empezar hoy mismo. Tendencias actuales.",ai-tools,10.00,TRUE,NA,2
insurance,Insurance Guides USA,en,"authoritative, clear",US adults looking for insurance coverage,1400,2000,"Include specific dollar amounts, coverage limits, actionable comparison. Target US market keywords.",insurance-us,35.00,TRUE,NA,1
legal-us,Legal Guides USA,en,"professional, trustworthy",US adults with legal questions,1400,2000,"Include specific laws, jurisdictions, when to hire a lawyer. Disclaimer: not legal advice. Target high-intent keywords.",legal-services,45.00,TRUE,NA,1
